Anyone can do that.	任何人都可以做到。
Mary carries pepper spray in her purse.	玛丽的包里有胡椒喷剂。
I will play tennis this afternoon.	我今天下午会去打网球。
That's so perfect.	那是完美的。
We've been asked to not do this anymore.	我们被要求不再这么做。
Could you come up here?	你能来这里吗？？
He asked me why I was laughing.	他问我为什么在笑。
There was a large crowd in the park.	公园里有一大群人。
I listened to some records last night.	我昨晚听了一些唱片。
It's difficult to speak English well.	把英语说好很难。
We met at the church.	我们在教堂里遇到。
I'm afraid she won't accept my explanation.	我怕她不会接受我的解释。
Our class has forty-five students.	我们班有四十名学生。
I'm glad you were right.	很高兴你是对的。
I caught sight of a parade on my way home.	在回家的路上，我看到一场阅兵式。
You have some books.	您有一些书。
Tom and his friends played basketball all afternoon.	汤姆和朋友们打了整个下午篮球。
They are bitter enemies.	他们是仇敌。
He's bound to notice your mistake.	他必定会觉察到你的错误。
A rabbit has long ears and a short tail.	兔子有长耳朵和短尾巴。
My sister goes to a university.	我妹妹上大学。
Put the book back where it was.	把书放回它原来的地方。
The bell rings at noon.	正午时分钟声响起。
Can you speak French?	你会讲法语吗？
He attributed his success to good luck.	他把他的成功归功于好运。
The scenery was beautiful beyond description.	这风景美得无法形容。
Will you please hold this edge?	能不能请你拿着这端？
He will make you eat dirt.	他会让你吃灰的。
Please reconsider.	请重新考虑一下。
You should drive at a safe speed.	你应该以安全速度驾驶。
Japan is a beautiful country.	日本是个美丽的国家。
The box wasn't empty.	箱子不是空的。
I can't tell if you're joking.	我无法分辨你是否在开玩笑。
She was crying as she answered.	她边哭边回答。
I'd do anything for Tom.	我会为汤姆做任何事。
He is flying to Paris tomorrow.	他明天将飞往巴黎。
He gave us not only clothes but some money.	他不仅给了我们衣服，还有一点钱。
It snowed a lot last year.	去年下了很多雪。
What does this stand for?	这是什么意思？
I had nothing to hide.	我没什么可隐藏。
I've heard this joke before.	我以前听过这笑话。
Foxes are wild animals.	狐狸是野生动物。
This is a good movie.	这是一部好电影。
His voice is pleasant to listen to.	他的声音听着很舒服。
Switzerland is a neutral country.	瑞士是一个中立的国家。
Is anything bothering you?	有什么事让你烦心吗？
It's safe to say so.	这么说是安全的。
He may have misunderstood you.	他可能误解你了。
That hat cost around fifty dollars.	那顶帽子花费了大约五十美元。
I'd like to get home by five.	我想在五点前到家。
They closed their eyes.	他们闭上眼睛。
Tom drank my apple juice.	Tom喝我的苹果汁。
I am folding my dress.	我在叠我的连衣裙。
He makes a living as a salesman.	他当推销员为生。
How far is it from here?	离这儿有多远？
You should give up smoking and drinking.	你该戒烟戒酒了。
Do you know why it's happening?	你知道为什么它正在发生吗？
I know that boy who is running.	我认识那个正在跑步的男孩。
My phone was out of order.	我的电话坏了。
I'd better do it right now.	我马上做比较好。
He and his wife tried to work out their problems, but couldn't.	他和他的妻子试图解决他们的问题，但没有办法。
Basketball is a lot of fun.	篮球可真是有意思。
I can't tell you how much I'll miss Tom.	我不会告诉你我有多想念汤姆。
The area of the factory is 1,000 square meters.	工厂的面积是1000平方米。
We'll deal with it tomorrow.	我们明天解决它。
I couldn't get to sleep.	我无法入睡。
I've just started playing tennis.	我刚开始打网球。
He was tired, but he kept working.	他累了，但是他继续工作。
There are many shrines in Kyoto.	京都有许多神社。
There was no one in the room.	房间里没有人。
You must not go out after dinner.	晚饭后你不可以外出。
The school is located within five minutes' walk of the station.	学校坐落于距离车站步行五分钟的地方。
I was deeply impressed by the scenery.	我被这景色深深迷住了。
It appears that she had a nice time at the party.	看来她似乎在派对上玩得很开心。
I'm glad that they fixed the heating system, but now it's too hot.	我很高兴他们修复了暖气系统，但现在太热了。
It's all my fault.	都是我的错。
Let me have a look at those photos.	让我看看那些照片。
Drive carefully.	开车小心点。
I need many books.	我需要很多书。
Tom became a minister.	汤姆当上了部长。
No arrests were ever made.	根本就没实施过逮捕行动。
How did you get there?	你怎么到那的？
I want this work finished by five.	我要这项工作在五点前完成。
Tom doesn't like being treated like a child.	汤姆不喜欢被当作小孩。
The captain is responsible for the safety of passengers.	船长要为乘客安全负责。
It cost me a thousand yen to get my bicycle fixed.	修理我的脚踏车花了我一千日圆。
He rested for a while.	他休息了一会儿。
Back off.	往后退点。
The living room furniture was modern in style.	卧室的家具是现代风格。
Do you need this book?	你需要这本书吗？
We were on the same train by chance.	我们偶然间乘了同一列列车。
The new medicine saved his life.	这个新药救了他的命。
He went to Paris to study French.	他到巴黎学习法语。
Why didn't you dance with him?	你为什么不跟他跳舞呢？
Is Tom Canadian?	Tom是加拿大人吗?
I'm here, so do you want to chat?	我在这，你想聊天吗？
I talked to him on the telephone yesterday night.	我昨晚跟他通电话了。
They hugged.	他们拥抱。
He likes oranges.	他喜欢橙子。
I wish you the best of luck.	祝你好运。
She used to work for our company.	她以前在我们公司工作。
Please don't interrupt me.	请不要打断我。
We have more customers than we can count.	我们的顾客比我们可以计数的更多。
She runs.	她跑。
I like traveling.	我喜欢旅行。
That was an excellent putt.	那是一个很棒的推杆。
It is easy to answer this question.	回答这个问题很容易。
I refuse to be treated like a child.	我拒绝被像一个孩子般对待。
I'm not a junior high school student.	我不是个初中生。
I agreed with him on the plan.	对于这个计划我同意他的意见。
I've never lived on a farm, but both of my parents grew up on farms.	我从没有住在农场，但我的父母都在农场长大。
I'll attend the meeting.	我将参加这个会议。
When does it arrive?	它什么时候到？
A doctor was sent for at once.	医生立刻被请来了。
Don't interfere in my affairs.	不要插手我的事。
He has a wonderful personality.	他有一个很好的性格。
Boys, don't make any noise.	男孩们，不要制造任何噪音。
There's no need to speak so loud.	没有必要说话这么大声。
Nice timing.	好时机。
Why is Tom still at school?	为社么汤姆还在学校？
My father became old.	我爸爸变老了。
I am not certain about that.	对于那个,我不确信。
